ingestion_pipeline_steps.py----ingestion_pipeline_steps---2024-09-18 04:58:05,991---INFO---data_ingestion_pipeline---Hate_classification.LOGGERS.logging---Initializing  data ingestion pipeline steps
data_ingestion.py----data_ingestion---2024-09-18 04:58:05,991---INFO---ingest_data---Hate_classification.LOGGERS.logging---initialized Reading CSV from { self.path} 
data_ingestion.py----data_ingestion---2024-09-18 04:58:05,991---INFO---ingest_data---Hate_classification.LOGGERS.logging---initialized Reading CSV from { self.path} 
ingestion_pipeline_steps.py----ingestion_pipeline_steps---2024-09-18 04:58:06,093---INFO---data_ingestion_pipeline---Hate_classification.LOGGERS.logging---successfully finished data ingestion pipeline steps
ingestion_pipeline_steps.py----ingestion_pipeline_steps---2024-09-18 04:58:06,093---INFO---data_ingestion_pipeline---Hate_classification.LOGGERS.logging---successfully finished data ingestion pipeline steps
__init__.py----__init__---2024-09-18 04:58:06,135---INFO---reading_yaml_file---Hate_classification.LOGGERS.logging---programatically constructing the yaml file path
__init__.py----__init__---2024-09-18 04:58:06,135---INFO---reading_yaml_file---Hate_classification.LOGGERS.logging---programatically constructing the yaml file path
__init__.py----__init__---2024-09-18 04:58:06,135---INFO---reading_yaml_file---Hate_classification.LOGGERS.logging---programatically constructing the yaml file path
__init__.py----__init__---2024-09-18 04:58:06,135---INFO---reading_yaml_file---Hate_classification.LOGGERS.logging---programatically constructing the yaml file path
__init__.py----__init__---2024-09-18 04:58:06,136---INFO---reading_yaml_file---Hate_classification.LOGGERS.logging---Done with programatically constructing the yaml file path
__init__.py----__init__---2024-09-18 04:58:06,136---INFO---reading_yaml_file---Hate_classification.LOGGERS.logging---Done with programatically constructing the yaml file path
__init__.py----__init__---2024-09-18 04:58:06,136---INFO---reading_yaml_file---Hate_classification.LOGGERS.logging---Done with programatically constructing the yaml file path
__init__.py----__init__---2024-09-18 04:58:06,136---INFO---reading_yaml_file---Hate_classification.LOGGERS.logging---Done with programatically constructing the yaml file path
